,1AA3C_23YAS_90,1AA3C_23YAS_93,1AA3C_23YAS_94,1AA4C_Z02_71,1AA4C_Z02_81,1AA4C_Z02_85,1PA1K_28JA_17,1PA1N_28JB_60,1PA2C_11JES_51,1PA2N_11JES_24,1PA4C_22YD_91,1PA4F_22YD_41,1PA4N_22YD_57,1PB2N_24JB_27,1PB2N_Z08_44,1PB3C_23YAC_20,1PB3C_8YDS_76,2AA1C_28JA_61,2AA1C_28JA_67,2AA3C_23YBC_2,2AA3K_9YD_62,2PA1C_11JCS_80,2PA1C_11JCS_83,2PA3C_15YE_37,2PA3C_15YE_41,2PA3C_15YE_61,2PA3C_15YE_82,2PA3N_15YE_35,2PB1C_Z08_6,2PB1F_Z08_17,2PB1K_Z08_8,2PB1N_24JB_86,2PB1N_24JB_91,4AA1F_X13_37,4AA1F_X13_46,4AA1F_X13_48,4AA1F_X14_79,4AA1N_X16_28,4AB1K_X16_57,4AB1N_X14_13,5PA1C_11JBS_66,5PA1C_11JBS_94,5PA1F_11JBS_3,5PA1N_11JBS_61,5PB3C_22YC_85,5PB3C_22YC_86,5PB3N_22YC_31,7AA1C_28JC_11,7AA1C_28JC_5,7AA1C_X14_93,7AA4C_23YAC_39,7AA4F_Z04_59,7AB4N_22YB_3,7PA1C_28JC_68,7PA1C_28JC_92,8AB1F_25YH_17,8AB1K_25YH_62,8AB4C_23YAS_16,8AB4C_25YA_77,8AB4F_25YA_19,8AC1C_25YC_8,8AC1N_25YC_3,8AC4C_8YAS_89,8PB1K_25YC_40,8PB3F_23YCS_6,8PB4N_25YD_28
1PA4C_22YD_91,0.97802431,0.98299224,0.99415452,0.99357354,0.99464513,0.99335332,0.98324562,0.99664648,0.79389617,0.99392036,1,0.99285607,0.99103104,0.99281042,0.98371682,0.98995797,0.9898543,0.99121366,0.99350258,0.99287015,0.98527719,0.99138537,0.99242998,0.98333434,0.99170716,0.99115955,0.99424463,0.9791467,0.76065118,0.76923209,0.4931245,0.99336221,0.98481799,0.97722833,0.99222125,0.97845479,0.99546149,0.99331618,0.9933973,0.97875514,0.99396947,0.99211847,0.98312348,0.99125309,0.99322243,0.99156067,0.99361111,0.99391137,0.99221612,0.99097976,0.99133099,0.8309089,0.99235825,0.99288562,0.99112857,0.98313366,0.99312631,0.97693424,0.99301396,0.99324001,0.77828529,0.99375368,0.99309681,0.99377127,0.99550516,0.99152971
1PA4F_22YD_41,0.97823337,0.98306423,0.99197823,0.99383257,0.99222503,0.99536266,0.98127499,0.99011334,0.78978627,0.99509825,0.99285607,1,0.98874351,0.99345711,0.98287221,0.99061788,0.98995321,0.99142831,0.99397596,0.99929379,0.98383567,0.996625,0.9894175,0.98052944,0.99126729,0.98745784,0.99436331,0.97530495,0.75922478,0.76680537,0.49186706,0.99024161,0.98399514,0.97493717,0.99338787,0.97613016,0.99050266,0.99346585,0.99840247,0.97649203,0.99782588,0.99115527,0.98202378,0.99233798,0.99730048,0.99183501,0.99673973,0.98903299,0.99496764,0.99110708,0.99265107,0.82918175,0.99238556,0.99640434,0.99171429,0.98210036,0.9919894,0.97636434,0.98973963,0.9933815,0.77565194,0.99878163,0.99857691,0.99330423,0.99233484,0.99065485
1PA4N_22YD_57,0.97743167,0.98335728,0.99327892,0.99230999,0.99080433,0.99060649,0.97977973,0.98825519,0.79152434,0.99094313,0.99103104,0.98874351,1,0.99390125,0.98229273,0.98998805,0.98736244,0.99071205,0.99456027,0.99162139,0.98542318,0.98974144,0.98788422,0.97949977,0.987301,0.98786531,0.99089615,0.97481279,0.7608939,0.76708092,0.49417409,0.98922565,0.98337395,0.97643173,0.99074964,0.97819386,0.98883521,0.99424507,0.99194509,0.97799413,0.99245438,0.99272587,0.98187987,0.99026394,0.99221396,0.99014263,0.9923754,0.98650303,0.9891437,0.98993657,0.99155892,0.83231024,0.99007022,0.99000542,0.99238713,0.98211444,0.99384226,0.97750793,0.99078831,0.99311314,0.78006716,0.99244622,0.99205636,0.99265542,0.99033112,0.99059657
1PB2N_24JB_27,0.97909073,0.98639511,0.99469358,0.99435764,0.99375796,0.99370979,0.98442699,0.99268459,0.78979475,0.9941724,0.99281042,0.99345711,0.99390125,1,0.98716524,0.99477355,0.99425451,0.99377368,0.9944692,0.9935574,0.98652799,0.99303556,0.99433552,0.98459672,0.99262007,0.99372329,0.99301493,0.97994361,0.76001997,0.76914744,0.49293952,0.99341281,0.98657459,0.97863712,0.99207062,0.97907387,0.99293954,0.99647628,0.99370208,0.97981019,0.99367285,0.99394549,0.98660993,0.99360567,0.99434157,0.99317769,0.99400587,0.99323324,0.99350047,0.99349196,0.99403551,0.83174777,0.99159981,0.99386133,0.99700023,0.98598522,0.99466432,0.97927505,0.99271483,0.99376651,0.78024732,0.99382854,0.99347088,0.99504764,0.9934654,0.99380453
1PB2N_Z08_44,0.97665105,0.99632368,0.98410917,0.98522281,0.98439963,0.98291632,0.97793394,0.98302655,0.7872681,0.98305959,0.98371682,0.98287221,0.98229273,0.98716524,1,0.98476808,0.98290645,0.98378687,0.98523655,0.98451153,0.98888771,0.9830695,0.98328277,0.97733561,0.98205601,0.98244856,0.98372285,0.97753589,0.7581173,0.76581945,0.4928125,0.98265385,0.98854777,0.97432062,0.98529736,0.97520736,0.98307227,0.98626634,0.98570228,0.97520868,0.9843364,0.98412598,0.99497014,0.98252732,0.98501715,0.98292355,0.98485126,0.98125941,0.98305692,0.98284995,0.98497589,0.82863847,0.98421846,0.98411695,0.98493881,0.99710306,0.98430927,0.97595849,0.98270179,0.98559504,0.77197015,0.98501896,0.98450092,0.98491254,0.98350541,0.98218461
1PB3C_23YAC_20,0.97944957,0.98361342,0.9940055,0.99440655,0.99218955,0.99425511,0.98309839,0.9921662,0.78918273,0.99145446,0.98995797,0.99061788,0.98998805,0.99477355,0.98476808,1,0.99139709,0.99306602,0.99350605,0.99324744,0.98433552,0.99078366,0.99033803,0.98313032,0.99248629,0.99024712,0.99385373,0.97537756,0.76089135,0.76905275,0.492488,0.99076801,0.98265484,0.97863692,0.99163437,0.9788867,0.98826792,0.9933646,0.99346554,0.97837506,0.99452556,0.99303717,0.98405642,0.9933548,0.99468249,0.99192369,0.99445469,0.98906682,0.99032118,0.9929504,0.99948708,0.8288047,0.99293999,0.99053946,0.99220093,0.98329305,0.99363261,0.97720771,0.99362765,0.99411196,0.77709704,0.99418084,0.99289267,0.99503566,0.9918789,0.99191895
1PB3C_8YDS_76,0.97736272,0.98378283,0.99363243,0.99539562,0.99148426,0.99278027,0.98263511,0.99127297,0.78822921,0.99264493,0.9898543,0.98995321,0.98736244,0.99425451,0.98290645,0.99139709,1,0.99152908,0.99248776,0.99196016,0.98374527,0.99151632,0.99194227,0.98240405,0.98969894,0.99055541,0.99383777,0.97716441,0.75996847,0.76677083,0.493378,0.9900345,0.9838597,0.97725924,0.99364161,0.97865419,0.9896626,0.99372637,0.99355795,0.97822149,0.99385929,0.99104057,0.98296513,0.99756047,0.99425767,0.99076962,0.9950192,0.98947275,0.99201537,0.99537113,0.99291393,0.83014587,0.99229523,0.99266607,0.99163233,0.98165379,0.99231645,0.97638127,0.99152661,0.99317442,0.77527246,0.99333915,0.99203827,0.99365326,0.99070495,0.99169779
2AA1C_28JA_61,0.97912316,0.98472114,0.99404097,0.99307506,0.992231,0.99338067,0.98409014,0.99281779,0.79118096,0.99245715,0.99121366,0.99142831,0.99071205,0.99377368,0.98378687,0.99306602,0.99152908,1,0.99486997,0.9935218,0.98442894,0.99223928,0.99113021,0.9833098,0.99114173,0.98911859,0.99403633,0.97772443,0.76207199,0.76942126,0.495368,0.99120137,0.98382356,0.97766054,0.99313525,0.97867777,0.98997993,0.99338308,0.99368405,0.97819,0.99386462,0.99199115,0.98476648,0.99326661,0.99347726,0.99267941,0.99399234,0.99025688,0.99231847,0.99348899,0.9944157,0.83011261,0.9928443,0.99251524,0.99290535,0.98354258,0.99429071,0.97671229,0.99238435,0.99385401,0.78020392,0.9937829,0.99304188,0.99471875,0.99121435,0.99387483
2AA1C_28JA_67,0.97933947,0.98592246,0.99671574,0.99359407,0.99333365,0.99332656,0.98412053,0.99296032,0.78947371,0.99374202,0.99350258,0.99397596,0.99456027,0.9944692,0.98523655,0.99350605,0.99248776,0.99486997,1,0.99415403,0.98647943,0.9931635,0.99398424,0.98388645,0.99270605,0.99240136,0.99320282,0.97970969,0.76126834,0.77027357,0.4935935,0.99423871,0.98639918,0.97872299,0.99144008,0.97921474,0.99318365,0.99545478,0.99326594,0.97947983,0.99355779,0.99513117,0.98610403,0.99301572,0.99365354,0.99334829,0.9936257,0.99345155,0.99346827,0.99267738,0.99399721,0.832479,0.99222053,0.99310612,0.99448529,0.98536165,0.99909587,0.9785019,0.99261915,0.99479404,0.7808937,0.99391075,0.99389916,0.99563687,0.9929375,0.99287327
2AA3C_23YBC_2,0.97844332,0.98424455,0.99258029,0.9941751,0.99256006,0.9963785,0.98231253,0.99093463,0.7876362,0.99606862,0.99287015,0.99929379,0.99162139,0.9935574,0.98451153,0.99324744,0.99196016,0.9935218,0.99415403,1,0.98513045,0.99738371,0.99221518,0.98248293,0.99168641,0.99032149,0.99487968,0.97853276,0.75916028,0.76808291,0.49491833,0.99269381,0.98466867,0.9769859,0.99374128,0.9771936,0.9924164,0.99351517,0.99839213,0.97797021,0.9981776,0.99265695,0.98376295,0.99382886,0.99787411,0.99331007,0.99723225,0.99215218,0.9966745,0.9915781,0.99466324,0.82850339,0.99286353,0.99715324,0.9920328,0.98323896,0.99295985,0.97678521,0.9908914,0.99387517,0.77534804,0.99926655,0.99917213,0.99385681,0.99253584,0.9915249
