Sample Name,KitNumber,Total reads,Duplicate Reads,Kept reads,Percent Kept,,SAMPLE_NAME,TUBE,PLATE,WELL,LOCATION,SID,TP,KIT
KIT_94K_MG1_B5,,501122,81220,419902,0.837923699,TRUE,KIT_94K_MG1_B5,94,1,B5,K,4PA,2,KIT_94
KIT_94K_MG5_B4,,10605390,9014340,1591050,0.150022771,TRUE,KIT_94K_MG5_B4,94,5,B4,K,4PA,2,KIT_94
KIT_94N_MG1_C5,,718540,113894,604646,0.841492471,TRUE,KIT_94N_MG1_C5,94,1,C5,N,4PA,2,KIT_94
KIT_94N_MG5_C4,,24767626,23444748,1322878,0.053411578,TRUE,KIT_94N_MG5_C4,94,5,C4,N,4PA,2,KIT_94
KIT_95C_MG1_A3,,1001278,152252,849026,0.84794233,TRUE,KIT_95C_MG1_A3,95,1,A3,C,3PA,2,KIT_95
KIT_95F_MG1_D3,,1383346,156422,1226924,0.886924891,TRUE,KIT_95F_MG1_D3,95,1,D3,F,3PA,2,KIT_95
KIT_95K_MG1_B3,,157804,24226,133578,0.846480444,TRUE,KIT_95K_MG1_B3,95,1,B3,K,3PA,2,KIT_95
KIT_95N_MG1_C3,,1836686,327884,1508802,0.821480645,TRUE,KIT_95N_MG1_C3,95,1,C3,N,3PA,2,KIT_95
KIT_96C_MG1_A9,,92104,3068,89036,0.966689829,TRUE,KIT_96C_MG1_A9,96,1,A9,C,1PB,2,KIT_96
KIT_96F_MG1_D9,,148460,6584,141876,0.955651354,TRUE,KIT_96F_MG1_D9,96,1,D9,F,1PB,2,KIT_96
KIT_96F_MG4_D8,,32491418,29211652,3279766,0.100942532,TRUE,KIT_96F_MG4_D8,96,4,D8,F,1PB,2,KIT_96
KIT_96K_MG4_B8,,6238934,4703150,1535784,0.246161283,TRUE,KIT_96K_MG4_B8,96,4,B8,K,1PB,2,KIT_96
KIT_96MK_MG1_B9,,106,2,104,0.981132075,TRUE,KIT_96MK_MG1_B9,96,1,B9,K,1PB,2,KIT_96M
KIT_96N_MG1_C9,,152052,6708,145344,0.955883514,TRUE,KIT_96N_MG1_C9,96,1,C9,N,1PB,2,KIT_96
KIT_96N_MG4_C8,,7881270,6102674,1778596,0.225673781,TRUE,KIT_96N_MG4_C8,96,4,C8,N,1PB,2,KIT_96
KIT_97C_MG7_E4,,0,0,0,0,TRUE,KIT_97C_MG7_E4,97,7,E4,C,9PA,2,KIT_97
KIT_97F_MG7_H4,,830020,654306,175714,0.211698513,TRUE,KIT_97F_MG7_H4,97,7,H4,F,9PA,2,KIT_97
KIT_97K_MG7_F4,,0,0,0,0,TRUE,KIT_97K_MG7_F4,97,7,F4,K,9PA,2,KIT_97
KIT_97N_MG7_G4,,733748,601322,132426,0.180478857,TRUE,KIT_97N_MG7_G4,97,7,G4,N,9PA,2,KIT_97
KIT_98C_MG4_A,,8126456,6347074,1779382,0.218961624,FALSE,KIT_98C_MG4_A11,98,4,A11,C,14PA,2,KIT_98
KIT_98C_MG7_E,,0,0,0,0,FALSE,KIT_98C_MG7_E1,98,7,E1,C,14PA,2,KIT_98
KIT_98F_MG4_D,,3292158,2289422,1002736,0.304583194,FALSE,KIT_98F_MG4_D11,98,4,D11,F,14PA,2,KIT_98
KIT_98F_MG7_H,,42076266,37719334,4356932,0.103548447,FALSE,KIT_98F_MG7_H1,98,7,H1,F,14PA,2,KIT_98
KIT_98K_MG4_B,,11019136,9038218,1980918,0.179770719,FALSE,KIT_98K_MG4_B11,98,4,B11,K,14PA,2,KIT_98
KIT_98K_MG7_F,,0,0,0,0,FALSE,KIT_98K_MG7_F1,98,7,F1,K,14PA,2,KIT_98
KIT_98N_MG4,,2745856,2000834,745022,0.271325954,FALSE,KIT_98N_MG4_C11,98,4,C11,N,14PA,2,KIT_98
KIT_98N_MG7_G,,5290344,4529722,760622,0.143775528,FALSE,KIT_98N_MG7_G1,98,7,G1,N,14PA,2,KIT_98
KIT_99C_MG7_E2,,0,0,0,0,TRUE,KIT_99C_MG7_E2,99,7,E2,C,14AA,2,KIT_99
KIT_99F_MG7_H2,,145566,125252,20314,0.139551818,TRUE,KIT_99F_MG7_H2,99,7,H2,F,14AA,2,KIT_99
KIT_99K_MG7_F2,,0,0,0,0,TRUE,KIT_99K_MG7_F2,99,7,F2,K,14AA,2,KIT_99
KIT_99N_MG7_G2,,68988,59538,9450,0.136980344,TRUE,KIT_99N_MG7_G2,99,7,G2,N,14AA,2,KIT_99
KIT_9C_MG1_E10,,86220,10248,75972,0.881141267,TRUE,KIT_9C_MG1_E10,9,1,E10,C,2PB,1,KIT_9
KIT_9F_MG1_H10,,61562,10104,51458,0.835872779,TRUE,KIT_9F_MG1_H10,9,1,H10,F,2PB,1,KIT_9
KIT_9K_MG1_F10,,39722,4834,34888,0.878304214,TRUE,KIT_9K_MG1_F10,9,1,F10,K,2PB,1,KIT_9
KIT_9N_MG1_G10,,494502,74118,420384,0.850115874,TRUE,KIT_9N_MG1_G10,9,1,G10,N,2PB,1,KIT_9
KIT_BLANK_A4_MG3_A4,,1126,428,698,0.619893428,TRUE,KIT_BLANK_A4_MG3_A4,0,3,A4,K,NA,0,KIT_BLANK_A
KIT_BLANK_B4_MG3_B4,,508,190,318,0.625984252,TRUE,KIT_BLANK_B4_MG3_B4,0,3,B4,K,NA,0,KIT_BLANK_B
KIT_BLANK_C4_MG3_C4,,972,364,608,0.625514403,TRUE,KIT_BLANK_C4_MG3_C4,0,3,C4,K,NA,0,KIT_BLANK_C
KIT_BLANK_D4_MG3_D4,,3426,1280,2146,0.626386457,TRUE,KIT_BLANK_D4_MG3_D4,0,3,D4,K,NA,0,KIT_BLANK_D
KIT_BLANK_MG3_A8,,2170,784,1386,0.638709677,TRUE,KIT_BLANK_MG3_A8,0,3,A8,K,NA,0,KIT_BLAN
KIT_BLANK_MG3_E9,,1546,214,1332,0.861578266,TRUE,KIT_BLANK_MG3_E9,0,3,E9,K,NA,0,KIT_BLAN
KIT_BLANK_MG3_G12,,314,82,232,0.738853503,TRUE,KIT_BLANK_MG3_G12,0,3,G12,K,NA,0,KIT_BLAN
KIT_BLANK_MG3_H12,,754,118,636,0.843501326,TRUE,KIT_BLANK_MG3_H12,0,3,H12,K,NA,0,KIT_BLAN
KIT_BLANK_MG6_D3,,6785334,6693104,92230,0.013592551,TRUE,KIT_BLANK_MG6_D3,0,6,D3,K,NA,0,KIT_BLAN
KIT_BLANK_MG6_E3,,16266600,15538606,727994,0.044753913,TRUE,KIT_BLANK_MG6_E3,0,6,E3,K,NA,0,KIT_BLAN
KIT_BLANK_MG6_F3,,18432988,16627022,1805966,0.097974675,TRUE,KIT_BLANK_MG6_F3,0,6,F3,K,NA,0,KIT_BLAN
KIT_BLANK_MG6_G3,,16079792,14013812,2065980,0.128483005,TRUE,KIT_BLANK_MG6_G3,0,6,G3,K,NA,0,KIT_BLAN
KIT_C2C2_MG4_A9,,139652,138432,1220,0.008736001,TRUE,KIT_C2C2_MG4_A9,0,4,A9,2,NA,0,KIT_C2C
KIT_CALE_MG4_D12,,140968,117834,23134,0.164108166,TRUE,KIT_CALE_MG4_D12,0,4,D12,E,NA,0,KIT_CAL
KIT_CALE_MG4_E12,,976,336,640,0.655737705,TRUE,KIT_CALE_MG4_E12,0,4,E12,E,NA,0,KIT_CAL
KIT_CALE_MG4_F12,,10,0,10,1,TRUE,KIT_CALE_MG4_F12,0,4,F12,E,NA,0,KIT_CAL
KIT_MOCK1_MG4_C12,,83566200,81508020,2058180,0.024629336,TRUE,KIT_MOCK1_MG4_C12,0,4,C12,1,NA,0,KIT_MOCK
KIT_MOCK1_MG7_H,,8750144,8187388,562756,0.064313913,FALSE,KIT_MOCK1_MG7_H11,0,7,H11,1,NA,0,KIT_MOCK
KIT_MOCK2_MG7_G,,1137292,1129402,7890,0.006937532,FALSE,KIT_MOCK2_MG7_G11,0,7,G11,2,NA,0,KIT_MOCK
KIT_MOCK3_MG7_F,,0,0,0,0,FALSE,KIT_MOCK3_MG7_F11,0,7,F11,3,NA,0,KIT_MOCK
KIT_MOCK4_MG4_B12,,34582,29208,5374,0.155398762,TRUE,KIT_MOCK4_MG4_B12,0,4,B12,4,NA,0,KIT_MOCK
KIT_MOCK4_MG7_E,,0,0,0,0,FALSE,KIT_MOCK4_MG7_E11,0,7,E11,4,NA,0,KIT_MOCK
KIT_MOCK5_MG6_C3,,1557910,1543128,14782,0.009488353,TRUE,KIT_MOCK5_MG6_C3,0,6,C3,5,NA,0,KIT_MOCK
KIT_MOCK6_MG6_B3,,667198,661686,5512,0.008261416,TRUE,KIT_MOCK6_MG6_B3,0,6,B3,6,NA,0,KIT_MOCK
KIT_MOCK6_MG7,,0,0,0,0,FALSE,KIT_MOCK6_MG7_C11,0,7,C11,6,NA,0,KIT_MOCK
KIT_MOCK7_MG4_A12,,117984,115294,2690,0.022799702,TRUE,KIT_MOCK7_MG4_A12,0,4,A12,7,NA,0,KIT_MOCK
KIT_MOCK7_MG7_B,,0,0,0,0,FALSE,KIT_MOCK7_MG7_B11,0,7,B11,7,NA,0,KIT_MOCK
KIT_NEGCONTROL_MG7_A,,0,0,0,0,FALSE,KIT_NEGCONTROL_MG7_A11,0,7,A11,L,NA,0,KIT_NEGCONTRO
KIT_UNKNOWN_A11_MG2_A,,324324,31242,293082,0.903670404,FALSE,KIT_UNKNOWN_A11_MG2_A11,0,2,A11,N,NA,0,KIT_UNKNOWN_A1
KIT_UNKNOWN_A12_MG2_A12,,62,0,62,1,TRUE,KIT_UNKNOWN_A12_MG2_A12,0,2,A12,N,NA,0,KIT_UNKNOWN_A1
KIT_UNKNOWN_B11_MG2_B,,35110,1988,33122,0.943377955,FALSE,KIT_UNKNOWN_B11_MG2_B11,0,2,B11,N,NA,0,KIT_UNKNOWN_B1
KIT_UNKNOWN_B12_MG2_B12,,3458,222,3236,0.935801041,TRUE,KIT_UNKNOWN_B12_MG2_B12,0,2,B12,N,NA,0,KIT_UNKNOWN_B1
KIT_UNKNOWN_C11_MG2,,172182,9556,162626,0.944500587,FALSE,KIT_UNKNOWN_C11_MG2_C11,0,2,C11,N,NA,0,KIT_UNKNOWN_C1
KIT_UNKNOWN_C12_MG2_C12,,9468,618,8850,0.934727503,TRUE,KIT_UNKNOWN_C12_MG2_C12,0,2,C12,N,NA,0,KIT_UNKNOWN_C1
KIT_UNKNOWN_D11_MG2_D,,252988,17052,235936,0.932597594,FALSE,KIT_UNKNOWN_D11_MG2_D11,0,2,D11,N,NA,0,KIT_UNKNOWN_D1
KIT_UNKNOWN_D12_MG2_D12,,4124,314,3810,0.92386033,TRUE,KIT_UNKNOWN_D12_MG2_D12,0,2,D12,N,NA,0,KIT_UNKNOWN_D1
KIT_UNKNOWN_E11_MG2_E,,21862,1304,20558,0.940353124,FALSE,KIT_UNKNOWN_E11_MG2_E11,0,2,E11,N,NA,0,KIT_UNKNOWN_E1
KIT_UNKNOWN_E12_MG2_E12,,8690,562,8128,0.935327963,TRUE,KIT_UNKNOWN_E12_MG2_E12,0,2,E12,N,NA,0,KIT_UNKNOWN_E1
KIT_UNKNOWN_F11_MG2_F,,9444,620,8824,0.934349852,FALSE,KIT_UNKNOWN_F11_MG2_F11,0,2,F11,N,NA,0,KIT_UNKNOWN_F1
KIT_UNKNOWN_F12_MG2_F12,,6858,470,6388,0.9314669,TRUE,KIT_UNKNOWN_F12_MG2_F12,0,2,F12,N,NA,0,KIT_UNKNOWN_F1
KIT_UNKNOWN_G11_MG2_G,,330172,19820,310352,0.939970682,FALSE,KIT_UNKNOWN_G11_MG2_G11,0,2,G11,N,NA,0,KIT_UNKNOWN_G1
KIT_UNKNOWN_G12_MG2_G12,,8316,596,7720,0.928330928,TRUE,KIT_UNKNOWN_G12_MG2_G12,0,2,G12,N,NA,0,KIT_UNKNOWN_G1
KIT_UNKNOWN_H11_MG2_H,,24792,2016,22776,0.918683446,FALSE,KIT_UNKNOWN_H11_MG2_H11,0,2,H11,N,NA,0,KIT_UNKNOWN_H1
KIT_UNKNOWN_H12_MG2_H12,,4272,318,3954,0.925561798,TRUE,KIT_UNKNOWN_H12_MG2_H12,0,2,H12,N,NA,0,KIT_UNKNOWN_H1
