,Day,Plate,Well,Culture,Media,Growth Rate,Time to Max Growth,Saturation OD,Rsq
103,1,Plate 2,A8,204,TSB,0.821295285,4.166666667,1.077709949,0.999344442
104,1,Plate 2,A9,205,TSB,0.713253863,4.666666667,0.816140857,0.99982525
105,1,Plate 2,A10,207,TSB,0.739812777,4.166666667,0.833568537,0.999743332
106,1,Plate 2,A11,208,TSB,0.822137119,4.5,1.08242793,0.999720924
107,1,Plate 2,A12,209,TSB,0.780917704,4.833333333,1.063855339,0.999316005
108,1,Plate 2,B1,210,TSB,0.746079137,4.833333333,1.283850297,0.998977919
109,1,Plate 2,B2,211,TSB,0.674781734,5.5,0.913134654,0.998563047
110,1,Plate 2,B3,214,TSB,0.746276671,4.5,1.055997294,0.998133841
111,1,Plate 2,B4,215,TSB,0.623734318,5.333333333,1.040854338,0.999457657
112,1,Plate 2,B5,217,TSB,0.801928168,4,1.010142089,0.99943105
113,1,Plate 2,B6,218,TSB,0.874115311,4.5,1.36657113,0.999129946
114,1,Plate 2,B7,0,TSB,0,18.01666667,0.027551517,0
115,1,Plate 2,B8,220,TSB,0.718652429,5,1.040285341,0.999593932
116,1,Plate 2,B9,221,TSB,0.752092837,5,1.062141992,0.999905474
117,1,Plate 2,B10,222,TSB,0.928278521,4.5,1.001999572,0.998694591
118,1,Plate 2,B11,223,TSB,0.884559873,4.333333333,1.016998736,0.999607169
119,1,Plate 2,B12,224,TSB,0.891273474,4,1.385857099,0.999833408
120,1,Plate 2,C1,225,TSB,0.605411048,3.5,1.040142249,0.999295658
121,1,Plate 2,C2,226,TSB,0.504446993,6.666666667,0.921997054,0.999289509
122,1,Plate 2,C3,227,TSB,0.64701172,4.666666667,0.802709705,0.999111486
123,1,Plate 2,C4,228,TSB,0.755216866,4.333333333,1.115708558,0.999266763
124,1,Plate 2,C5,229,TSB,0.645636911,5.666666667,0.91399375,0.998325535
125,1,Plate 2,C6,230,TSB,0.679749911,4.833333333,1.049141709,0.999879143
126,1,Plate 2,C7,231,TSB,0.863998164,4.333333333,1.125849475,0.999336812
127,1,Plate 2,C8,232,TSB,0.485577023,6.5,0.949852114,0.999651521
128,1,Plate 2,C9,233,TSB,0.839350361,5.833333333,1.101710173,0.998017472
129,1,Plate 2,C10,235,TSB,0.804315531,4.5,0.961571301,0.999435298
130,1,Plate 2,C11,236,TSB,0.873498797,4.5,1.056991753,0.99902698
131,1,Plate 2,C12,237,TSB,0.919702106,4,1.239282173,0.999294601
