,Lineage 38,Lineage 37,Lineage 20,Lineage 34,Lineage 11,Lineage 42,Lineage 45,Lineage 22,Lineage 49,Lineage 56,Lineage 21,Lineage 27,Lineage 10,Lineage 35,Lineage 31,Lineage 43,Lineage 14,Lineage 59,Lineage 67,Lineage 29,Lineage 52,Lineage 69,Lineage 25,Lineage 66,Lineage 16,Lineage 23,Lineage 60,Lineage 40,Lineage 39,Lineage 55,Lineage 33,Lineage 63,Lineage 50,Lineage 62,Lineage 32,Lineage 6,Lineage 61,Lineage 41,Lineage 13,Lineage 53,Lineage 19,Lineage 58,Lineage 46,Lineage 26,Lineage 30,Lineage 7,Lineage 48,Lineage 36,Lineage 9,Lineage 44,Lineage 54,Lineage 5,Lineage 57,Lineage 70,Lineage 12,Lineage 18,Lineage 17,Lineage 28,Lineage 51
Lineage 40,0.051281,0.050046,0.050847,0.04831,0.049707,0.047017,0.030584,0.044541,0.051192,0.050592,0.050181,0.059972,0.054752,0.052053,0.049477,0.041592,0.291278,0.051159,0.051127,0.051075,0.055228,0.04611,0.175803,0.14742,0.147028,0.054354,0.048417,0,0.043115,0.044818,0.34261,0.148986,0.056869,0.056189,0.044728,0.291504,0.050979,0.054293,0.05787,0.032666,0.034435,0.175178,0.147421,0.147697,0.151184,0.051153,0.05479,0.064728,0.046055,0.260176,0.259582,0.305487,0.056493,0.051165,0.050901,0.05085,0.049357,0.032453,0.041666
Lineage 39,0.039706,0.038471,0.039272,0.036735,0.038132,0.035442,0.029327,0.032966,0.039617,0.039017,0.038606,0.048397,0.043177,0.040478,0.037902,0.022627,0.279703,0.039584,0.039552,0.0395,0.043653,0.034535,0.164228,0.135845,0.135453,0.042779,0.036842,0.043115,0,0.033243,0.331035,0.137411,0.045294,0.044614,0.033153,0.279929,0.039404,0.042718,0.046295,0.036023,0.02753,0.163603,0.135846,0.136122,0.139609,0.039578,0.043215,0.053153,0.03448,0.248601,0.248007,0.293912,0.044918,0.03959,0.039326,0.039275,0.037782,0.03581,0.030091
Lineage 55,0.035905,0.03467,0.035471,0.032934,0.034331,0.031641,0.03103,0.030967,0.035816,0.035216,0.034805,0.044596,0.039376,0.036677,0.034101,0.03172,0.275902,0.035783,0.035751,0.035699,0.039852,0.032536,0.160427,0.132044,0.131652,0.038978,0.033041,0.044818,0.033243,0,0.327234,0.13361,0.041493,0.040813,0.000844,0.276128,0.035603,0.038917,0.042494,0.037726,0.029233,0.159802,0.132045,0.132321,0.135808,0.035777,0.039414,0.049352,0.032481,0.2448,0.244206,0.290111,0.041117,0.035789,0.035525,0.035474,0.033981,0.037513,0.021356
Lineage 33,0.324653,0.323418,0.324219,0.321682,0.323079,0.326893,0.328822,0.328759,0.324564,0.323964,0.323553,0.333344,0.328124,0.325425,0.322849,0.329512,0.123988,0.324531,0.324499,0.324447,0.335104,0.330328,0.192931,0.371262,0.37087,0.327726,0.321789,0.34261,0.331035,0.327234,0,0.372828,0.327723,0.329561,0.327144,0.124214,0.321833,0.327665,0.334248,0.335518,0.327025,0.192306,0.371263,0.371539,0.375026,0.324525,0.328162,0.341106,0.330273,0.14339,0.142796,0.118447,0.327347,0.324537,0.324273,0.324222,0.322729,0.335305,0.324082
Lineage 63,0.131029,0.129794,0.130595,0.128058,0.129455,0.133269,0.135198,0.135135,0.13094,0.13034,0.129929,0.13972,0.1345,0.131801,0.129225,0.135888,0.321496,0.130907,0.130875,0.130823,0.14148,0.136704,0.206021,0.060898,0.060506,0.134102,0.128165,0.148986,0.137411,0.13361,0.372828,0,0.134099,0.135937,0.13352,0.321722,0.128209,0.134041,0.140624,0.141894,0.133401,0.205396,0.060899,0.061175,0.014928,0.130901,0.134538,0.147482,0.136649,0.290394,0.2898,0.335705,0.133723,0.130913,0.130649,0.130598,0.129105,0.141681,0.130458
Lineage 50,0.038912,0.037677,0.038478,0.035941,0.037338,0.041152,0.043081,0.043018,0.038823,0.038223,0.037812,0.047603,0.042383,0.039684,0.037108,0.043771,0.276391,0.03879,0.038758,0.038706,0.049363,0.044587,0.160916,0.132533,0.132141,0.041985,0.036048,0.056869,0.045294,0.041493,0.327723,0.134099,0,0.04382,0.041403,0.276617,0.021292,0.041924,0.048507,0.049777,0.041284,0.160291,0.132534,0.13281,0.136297,0.038784,0.042421,0.055365,0.044532,0.245289,0.244695,0.2906,0.002838,0.038796,0.038532,0.038481,0.036988,0.049564,0.038341
Lineage 62,0.02306,0.021825,0.031062,0.028525,0.029922,0.040472,0.042401,0.042338,0.022971,0.022371,0.02196,0.034241,0.029021,0.032268,0.029692,0.043091,0.278229,0.022938,0.022906,0.022854,0.048683,0.043907,0.162754,0.134371,0.133979,0.004469,0.028632,0.056189,0.044614,0.040813,0.329561,0.135937,0.04382,0,0.040723,0.278455,0.03793,0.028562,0.047827,0.049097,0.040604,0.162129,0.134372,0.134648,0.138135,0.022932,0.029059,0.054685,0.043852,0.247127,0.246533,0.292438,0.043444,0.022944,0.02268,0.022629,0.029572,0.048884,0.037661
Lineage 32,0.035815,0.03458,0.035381,0.032844,0.034241,0.031551,0.03094,0.030877,0.035726,0.035126,0.034715,0.044506,0.039286,0.036587,0.034011,0.03163,0.275812,0.035693,0.035661,0.035609,0.039762,0.032446,0.160337,0.131954,0.131562,0.038888,0.032951,0.044728,0.033153,0.000844,0.327144,0.13352,0.041403,0.040723,0,0.276038,0.035513,0.038827,0.042404,0.037636,0.029143,0.159712,0.131955,0.132231,0.135718,0.035687,0.039324,0.049262,0.032391,0.24471,0.244116,0.290021,0.041027,0.035699,0.035435,0.035384,0.033891,0.037423,0.021266
Lineage 6,0.273547,0.272312,0.273113,0.270576,0.271973,0.275787,0.277716,0.277653,0.273458,0.272858,0.272447,0.282238,0.277018,0.274319,0.271743,0.278406,0.001296,0.273425,0.273393,0.273341,0.283998,0.279222,0.141825,0.320156,0.319764,0.27662,0.270683,0.291504,0.279929,0.276128,0.124214,0.321722,0.276617,0.278455,0.276038,0,0.270727,0.276559,0.283142,0.284412,0.275919,0.1412,0.320157,0.320433,0.32392,0.273419,0.277056,0.29,0.279167,0.092284,0.09169,0.087091,0.276241,0.273431,0.273167,0.273116,0.271623,0.284199,0.272976
Lineage 61,0.033022,0.031787,0.032588,0.030051,0.031448,0.035262,0.037191,0.037128,0.032933,0.032333,0.031922,0.041713,0.036493,0.033794,0.031218,0.037881,0.270501,0.0329,0.032868,0.032816,0.043473,0.038697,0.155026,0.126643,0.126251,0.036095,0.030158,0.050979,0.039404,0.035603,0.321833,0.128209,0.021292,0.03793,0.035513,0.270727,0,0.036034,0.042617,0.043887,0.035394,0.154401,0.126644,0.12692,0.130407,0.032894,0.036531,0.049475,0.038642,0.239399,0.238805,0.28471,0.020916,0.032906,0.032642,0.032591,0.031098,0.043674,0.032451
